review,clean_review,tokens
i have been using this toner for years and love it works with my sensitive skin and its a nice travel size ,using toner years love works sensitive skin nice travel size,"['using', 'toner', 'years', 'love', 'works', 'sensitive', 'skin', 'nice', 'travel', 'size']"
i like how it is refreshing to my skin after washing and before i apply face moisturizer and sunscreen smells clean and a bit herbal refreshing face toner spray,like refreshing skin washing apply face moisturizer sunscreen smells clean bit herbal refreshing face toner spray,"['like', 'refreshing', 'skin', 'washing', 'apply', 'face', 'moisturizer', 'sunscreen', 'smells', 'clean', 'bit', 'herbal', 'refreshing', 'face', 'toner', 'spray']"
this products works well for me it doesnt leave my skin feeling tight or dry ,products works well doesnt leave skin feeling tight dry,"['products', 'works', 'well', 'doesnt', 'leave', 'skin', 'feeling', 'tight', 'dry']"
the product is very refreshing and does not irritate my sensitive skin all my other products work so much better when i use this first highly recommend you wont be disappointed ,product refreshing not irritate sensitive skin products work much better use first highly recommend wont disappointed,"['product', 'refreshing', 'not', 'irritate', 'sensitive', 'skin', 'products', 'work', 'much', 'better', 'use', 'first', 'highly', 'recommend', 'wont', 'disappointed']"
we have been using dermalogica products for the better part of 20 years your face feels clean and the toner really makes your skin feel fresh follow it up with active moist and you are all set  it does not dry out your skin like other products ,using dermalogica products better part 20 years face feels clean toner really makes skin feel fresh follow active moist set not dry skin like products,"['using', 'dermalogica', 'products', 'better', 'part', '20', 'years', 'face', 'feels', 'clean', 'toner', 'really', 'makes', 'skin', 'feel', 'fresh', 'follow', 'active', 'moist', 'set', 'not', 'dry', 'skin', 'like', 'products']"
the bottle must be kept upright or it will leak out i used it on my face it contains witch hazel,bottle must kept upright leak used face contains witch hazel,"['bottle', 'must', 'kept', 'upright', 'leak', 'used', 'face', 'contains', 'witch', 'hazel']"
i love it it cleanses my familys facesnot harsh and keeps blemishes at bay i have a subscription,love cleanses familys facesnot harsh keeps blemishes bay subscription,"['love', 'cleanses', 'familys', 'facesnot', 'harsh', 'keeps', 'blemishes', 'bay', 'subscription']"
very good for the price ,good price,"['good', 'price']"
i did not look at the ingredients list of this but honestly i do not know what is in toner in general but alcohol is one of the ingredients and it really smells like it i have only used it twice so i cant tell how my skin reacts to it or how well it helps clear my skin i noticed in a different toner ive used before that it helped to diminish some acne i had i think i would be weary if i had sensitive skin in using this toner i think i have a normal skin type idk but usually its not very reactive to new skin products so if you are i would be cautious 4 stars cause im not sure about it yet ,not look ingredients list honestly not know toner general alcohol one ingredients really smells like used twice cant tell skin reacts well helps clear skin noticed different toner ive used helped diminish acne think would weary sensitive skin using toner think normal skin type idk usually not reactive new skin products would cautious 4 stars cause im not sure yet,"['not', 'look', 'ingredients', 'list', 'honestly', 'not', 'know', 'toner', 'general', 'alcohol', 'one', 'ingredients', 'really', 'smells', 'like', 'used', 'twice', 'cant', 'tell', 'skin', 'reacts', 'well', 'helps', 'clear', 'skin', 'noticed', 'different', 'toner', 'ive', 'used', 'helped', 'diminish', 'acne', 'think', 'would', 'weary', 'sensitive', 'skin', 'using', 'toner', 'think', 'normal', 'skin', 'type', 'idk', 'usually', 'not', 'reactive', 'new', 'skin', 'products', 'would', 'cautious', '4', 'stars', 'cause', 'im', 'not', 'sure', 'yet']"
this works just as well as paulas toner  and it is like 14 the cost dont waste money on expensive toners,works well paulas toner like 14 cost dont waste money expensive toners,"['works', 'well', 'paulas', 'toner', 'like', '14', 'cost', 'dont', 'waste', 'money', 'expensive', 'toners']"
feels great on the skin ,feels great skin,"['feels', 'great', 'skin']"
i purchased an anua beauty kit and instead of the toner they gave me two lotions so i went back to my roots and reached for this the best toner in the game my face looks expensive now so thank you or whatever ,purchased anua beauty kit instead toner gave two lotions went back roots reached best toner game face looks expensive thank whatever,"['purchased', 'anua', 'beauty', 'kit', 'instead', 'toner', 'gave', 'two', 'lotions', 'went', 'back', 'roots', 'reached', 'best', 'toner', 'game', 'face', 'looks', 'expensive', 'thank', 'whatever']"
use witch hazel on elderly mother for itching  this works but is over priced for what you get as expected but over priced,use witch hazel elderly mother itching works priced get expected priced,"['use', 'witch', 'hazel', 'elderly', 'mother', 'itching', 'works', 'priced', 'get', 'expected', 'priced']"
ive been using the rose water hydrating toner for a while now and its quickly become one of my favorite skincare products after a long busy day this toner feels absolutely amazing on my skin its like a refreshing gentle cleanse that wipes away all the stress and grime from the day i always feel so much cleaner and more refreshed after using it without any harsh or tight feeling that some toners can leave behindwhat really stands out to me is how light and nonsticky it is a lot of toners ive tried in the past would leave my skin feeling sticky or like there was a residue but not with this one it absorbs so well and leaves my face feeling soft smooth and hydrated i never feel like theres a layer of product sitting on my skin which i absolutely lovethe scent is another huge plus it smells absolutely wonderfulfresh light and subtle its just enough to feel calming and luxurious without being overpowering or irritating which is a problem ive had with other rose water products the scent is just right adding a soothing element to my skincare routine without being too muchwhat i also appreciate is that a little goes a long way i only need a few drops on a cotton pad to get the job done which makes the bottle last a good amount of time its so effective at cleansing and hydrating that i dont feel the need to drench my face in it just a few swipes with the toner and my skin feels totally refreshed and balancedhonestly this toner has become a musthave in my skincare routine its gentle effective and leaves my skin feeling super clean and hydrated without any heaviness whether ive had a long day out or just want a quick refresher this rose water hydrating toner is the perfect addition if youre looking for something that smells great feels great and actually works i cant recommend this toner enough not sticky at all smells good,ive using rose water hydrating toner quickly become one favorite skincare products long busy day toner feels absolutely amazing skin like refreshing gentle cleanse wipes away stress grime day always feel much cleaner refreshed using without harsh tight feeling toners leave behindwhat really stands light nonsticky lot toners ive tried past would leave skin feeling sticky like residue not one absorbs well leaves face feeling soft smooth hydrated never feel like theres layer product sitting skin absolutely lovethe scent another huge plus smells absolutely wonderfulfresh light subtle enough feel calming luxurious without overpowering irritating problem ive rose water products scent right adding soothing element skincare routine without muchwhat also appreciate little goes long way need drops cotton pad get job done makes bottle last good amount time effective cleansing hydrating dont feel need drench face swipes toner skin feels totally refreshed balancedhonestly toner become musthave skincare routine gentle effective leaves skin feeling super clean hydrated without heaviness whether ive long day want quick refresher rose water hydrating toner perfect addition youre looking something smells great feels great actually works cant recommend toner enough not sticky smells good,"['ive', 'using', 'rose', 'water', 'hydrating', 'toner', 'quickly', 'become', 'one', 'favorite', 'skincare', 'products', 'long', 'busy', 'day', 'toner', 'feels', 'absolutely', 'amazing', 'skin', 'like', 'refreshing', 'gentle', 'cleanse', 'wipes', 'away', 'stress', 'grime', 'day', 'always', 'feel', 'much', 'cleaner', 'refreshed', 'using', 'without', 'harsh', 'tight', 'feeling', 'toners', 'leave', 'behindwhat', 'really', 'stands', 'light', 'nonsticky', 'lot', 'toners', 'ive', 'tried', 'past', 'would', 'leave', 'skin', 'feeling', 'sticky', 'like', 'residue', 'not', 'one', 'absorbs', 'well', 'leaves', 'face', 'feeling', 'soft', 'smooth', 'hydrated', 'never', 'feel', 'like', 'theres', 'layer', 'product', 'sitting', 'skin', 'absolutely', 'lovethe', 'scent', 'another', 'huge', 'plus', 'smells', 'absolutely', 'wonderfulfresh', 'light', 'subtle', 'enough', 'feel', 'calming', 'luxurious', 'without', 'overpowering', 'irritating', 'problem', 'ive', 'rose', 'water', 'products', 'scent', 'right', 'adding', 'soothing', 'element', 'skincare', 'routine', 'without', 'muchwhat', 'also', 'appreciate', 'little', 'goes', 'long', 'way', 'need', 'drops', 'cotton', 'pad', 'get', 'job', 'done', 'makes', 'bottle', 'last', 'good', 'amount', 'time', 'effective', 'cleansing', 'hydrating', 'dont', 'feel', 'need', 'drench', 'face', 'swipes', 'toner', 'skin', 'feels', 'totally', 'refreshed', 'balancedhonestly', 'toner', 'become', 'musthave', 'skincare', 'routine', 'gentle', 'effective', 'leaves', 'skin', 'feeling', 'super', 'clean', 'hydrated', 'without', 'heaviness', 'whether', 'ive', 'long', 'day', 'want', 'quick', 'refresher', 'rose', 'water', 'hydrating', 'toner', 'perfect', 'addition', 'youre', 'looking', 'something', 'smells', 'great', 'feels', 'great', 'actually', 'works', 'cant', 'recommend', 'toner', 'enough', 'not', 'sticky', 'smells', 'good']"
i really love this toner  it is alcohol free and leaves my skin feeling clean and refreshed  i will be ordeering this again ,really love toner alcohol free leaves skin feeling clean refreshed ordeering,"['really', 'love', 'toner', 'alcohol', 'free', 'leaves', 'skin', 'feeling', 'clean', 'refreshed', 'ordeering']"
this is witch hazel  love the rose water additional  i would have given the full five stars review but for the top  no fliptop so beware of holding this bottle uprightlove love love this ,witch hazel love rose water additional would given full five stars review top no fliptop beware holding bottle uprightlove love love,"['witch', 'hazel', 'love', 'rose', 'water', 'additional', 'would', 'given', 'full', 'five', 'stars', 'review', 'top', 'no', 'fliptop', 'beware', 'holding', 'bottle', 'uprightlove', 'love', 'love']"
it came quickly and it a good product ,came quickly good product,"['came', 'quickly', 'good', 'product']"
this has become a staple for me the size and price is great i use it everyday works well leaves my skin fresh smells nice ,become staple size price great use everyday works well leaves skin fresh smells nice,"['become', 'staple', 'size', 'price', 'great', 'use', 'everyday', 'works', 'well', 'leaves', 'skin', 'fresh', 'smells', 'nice']"
just picked this up to try out since it was on sale for a great price and its really quite nice i typically put it in a little spray bottle and mist it on my face neck and chest after getting out and drying off from a shower in the morning simple product with a very mild aroma that helps gently smooth hydrate and brighten the skin great product from amazon,picked try since sale great price really quite nice typically put little spray bottle mist face neck chest getting drying shower morning simple product mild aroma helps gently smooth hydrate brighten skin great product amazon,"['picked', 'try', 'since', 'sale', 'great', 'price', 'really', 'quite', 'nice', 'typically', 'put', 'little', 'spray', 'bottle', 'mist', 'face', 'neck', 'chest', 'getting', 'drying', 'shower', 'morning', 'simple', 'product', 'mild', 'aroma', 'helps', 'gently', 'smooth', 'hydrate', 'brighten', 'skin', 'great', 'product', 'amazon']"
not much to say except that this does what its supposed to do i use it everyday and no allergic reaction happy with this purchase does what its supposed to do,not much say except supposed use everyday no allergic reaction happy purchase supposed,"['not', 'much', 'say', 'except', 'supposed', 'use', 'everyday', 'no', 'allergic', 'reaction', 'happy', 'purchase', 'supposed']"
i really love this toner i havent had any issues with it my face feels so refreshing after i use itits budget friendly and ill be buying it again this rose water hydrating toner is a great buy if youre on a budget,really love toner havent issues face feels refreshing use itits budget friendly ill buying rose water hydrating toner great buy youre budget,"['really', 'love', 'toner', 'havent', 'issues', 'face', 'feels', 'refreshing', 'use', 'itits', 'budget', 'friendly', 'ill', 'buying', 'rose', 'water', 'hydrating', 'toner', 'great', 'buy', 'youre', 'budget']"
just had a break out using it could be because of purging ,break using could purging,"['break', 'using', 'could', 'purging']"
i think this product is good and is of high quality it smells good and i use it after i wash my face to make sure everything is clean including my chest and neck it doesnt burn and if you get it near your eyes it does not cause irritation like other similar products ,think product good high quality smells good use wash face make sure everything clean including chest neck doesnt burn get near eyes not cause irritation like similar products,"['think', 'product', 'good', 'high', 'quality', 'smells', 'good', 'use', 'wash', 'face', 'make', 'sure', 'everything', 'clean', 'including', 'chest', 'neck', 'doesnt', 'burn', 'get', 'near', 'eyes', 'not', 'cause', 'irritation', 'like', 'similar', 'products']"
this toner is the bomb and i am a new user to the product i need another now and will be ordering this week the toner feels fresh and cool going on my skin feels waking up and clean after use i finished the bottle quickly,toner bomb new user product need another ordering week toner feels fresh cool going skin feels waking clean use finished bottle quickly,"['toner', 'bomb', 'new', 'user', 'product', 'need', 'another', 'ordering', 'week', 'toner', 'feels', 'fresh', 'cool', 'going', 'skin', 'feels', 'waking', 'clean', 'use', 'finished', 'bottle', 'quickly']"
no issue with it for the price quality is good and its a good toner ive bought it a few times ,no issue price quality good good toner ive bought times,"['no', 'issue', 'price', 'quality', 'good', 'good', 'toner', 'ive', 'bought', 'times']"
i use this every night after washing my face and i have seen a difference in my skin i dont break out as much it leaves my skin looking really glowy and soft ,use every night washing face seen difference skin dont break much leaves skin looking really glowy soft,"['use', 'every', 'night', 'washing', 'face', 'seen', 'difference', 'skin', 'dont', 'break', 'much', 'leaves', 'skin', 'looking', 'really', 'glowy', 'soft']"
really like the scent of this to me it has a pure rose scent nothing fake about it i like the fact it has no alcohol and cleans and tones the skin without drying it out its a bit expensive for the amount so i actually dilute it a bit with distilled water and it works just as well ,really like scent pure rose scent nothing fake like fact no alcohol cleans tones skin without drying bit expensive amount actually dilute bit distilled water works well,"['really', 'like', 'scent', 'pure', 'rose', 'scent', 'nothing', 'fake', 'like', 'fact', 'no', 'alcohol', 'cleans', 'tones', 'skin', 'without', 'drying', 'bit', 'expensive', 'amount', 'actually', 'dilute', 'bit', 'distilled', 'water', 'works', 'well']"
ive been using this product for years its soothing and makes my skin look and feel radiant its also a bit jarring to see what skin cleanser leaves behind on the cotton square when you clean your face with this yuck wont go without this ,ive using product years soothing makes skin look feel radiant also bit jarring see skin cleanser leaves behind cotton square clean face yuck wont go without,"['ive', 'using', 'product', 'years', 'soothing', 'makes', 'skin', 'look', 'feel', 'radiant', 'also', 'bit', 'jarring', 'see', 'skin', 'cleanser', 'leaves', 'behind', 'cotton', 'square', 'clean', 'face', 'yuck', 'wont', 'go', 'without']"
this alcoholfree  fragrance free toner is effective yet gentle on my skin i have used it for years it never stings but helps to clean off any last traces of facial cleanser  i use it at night after removing my makeup it leaves my skin feeling nice and smooth in the morning its the only toner i use highly recommend ,alcoholfree fragrance free toner effective yet gentle skin used years never stings helps clean last traces facial cleanser use night removing makeup leaves skin feeling nice smooth morning toner use highly recommend,"['alcoholfree', 'fragrance', 'free', 'toner', 'effective', 'yet', 'gentle', 'skin', 'used', 'years', 'never', 'stings', 'helps', 'clean', 'last', 'traces', 'facial', 'cleanser', 'use', 'night', 'removing', 'makeup', 'leaves', 'skin', 'feeling', 'nice', 'smooth', 'morning', 'toner', 'use', 'highly', 'recommend']"
love the fact that there is no alcohol in this toner ,love fact no alcohol toner,"['love', 'fact', 'no', 'alcohol', 'toner']"
cleans up excess make updirt after cleansing face does not contain alcohol,cleans excess make updirt cleansing face not contain alcohol,"['cleans', 'excess', 'make', 'updirt', 'cleansing', 'face', 'not', 'contain', 'alcohol']"
after washing your face use this and find out how much dirt is still there packaging could use some work ,washing face use find much dirt still packaging could use work,"['washing', 'face', 'use', 'find', 'much', 'dirt', 'still', 'packaging', 'could', 'use', 'work']"
i have used this product for many many years and have very sensitive skin it is wonderful it does not dry my face but always removes some extra dirt that may not have come off during cleansing ,used product many many years sensitive skin wonderful not dry face always removes extra dirt may not come cleansing,"['used', 'product', 'many', 'many', 'years', 'sensitive', 'skin', 'wonderful', 'not', 'dry', 'face', 'always', 'removes', 'extra', 'dirt', 'may', 'not', 'come', 'cleansing']"
my favorite toner  it has no fragrance which is very important to me after applying on my face and neck i  feel freshness ive been buying it for 10 years i tried toner from other brands but always came back to this one highly recommend great neutrogena alcoholfree gentle daily fragrancefree face toner,favorite toner no fragrance important applying face neck feel freshness ive buying 10 years tried toner brands always came back one highly recommend great neutrogena alcoholfree gentle daily fragrancefree face toner,"['favorite', 'toner', 'no', 'fragrance', 'important', 'applying', 'face', 'neck', 'feel', 'freshness', 'ive', 'buying', '10', 'years', 'tried', 'toner', 'brands', 'always', 'came', 'back', 'one', 'highly', 'recommend', 'great', 'neutrogena', 'alcoholfree', 'gentle', 'daily', 'fragrancefree', 'face', 'toner']"
love this toner  no strong smells cleans well ,love toner no strong smells cleans well,"['love', 'toner', 'no', 'strong', 'smells', 'cleans', 'well']"
this leaves a residue on my skin after usingnot crazy about it ,leaves residue skin usingnot crazy,"['leaves', 'residue', 'skin', 'usingnot', 'crazy']"
this was my first purchase from this brand and i must say that i will be repurchasing again it works in tandem with my other korean skincare products and i absolutely love this will be ordering another before i run out absolutely stellar ingredients ,first purchase brand must say repurchasing works tandem korean skincare products absolutely love ordering another run absolutely stellar ingredients,"['first', 'purchase', 'brand', 'must', 'say', 'repurchasing', 'works', 'tandem', 'korean', 'skincare', 'products', 'absolutely', 'love', 'ordering', 'another', 'run', 'absolutely', 'stellar', 'ingredients']"
i have very sensitive and clogprone skin and i have had so many bad reactions to other toners that had seemingly good ingredients it got to the point that i gave up on toners however even with a serum and moisturizer i still had dehydration lines on my forehead so i decided that i needed to give toner another try and since my skin loves the purito serum moisturizer and spf i figured trying their toner would be my best bet this toner is perfect so soothing and adds nice hydration has not irritated my skin or broken me out after using for about a week highly recommend if you want to add another layer of soothing and hydration to your routine ,sensitive clogprone skin many bad reactions toners seemingly good ingredients got point gave toners however even serum moisturizer still dehydration lines forehead decided needed give toner another try since skin loves purito serum moisturizer spf figured trying toner would best bet toner perfect soothing adds nice hydration not irritated skin broken using week highly recommend want add another layer soothing hydration routine,"['sensitive', 'clogprone', 'skin', 'many', 'bad', 'reactions', 'toners', 'seemingly', 'good', 'ingredients', 'got', 'point', 'gave', 'toners', 'however', 'even', 'serum', 'moisturizer', 'still', 'dehydration', 'lines', 'forehead', 'decided', 'needed', 'give', 'toner', 'another', 'try', 'since', 'skin', 'loves', 'purito', 'serum', 'moisturizer', 'spf', 'figured', 'trying', 'toner', 'would', 'best', 'bet', 'toner', 'perfect', 'soothing', 'adds', 'nice', 'hydration', 'not', 'irritated', 'skin', 'broken', 'using', 'week', 'highly', 'recommend', 'want', 'add', 'another', 'layer', 'soothing', 'hydration', 'routine']"
i got compliments on my skin within days of starting to use this of all the products ive tried to give the glass skin effect this one is the best i didnt expect the consistency to be thick like an essence but its so effective that i dont mind at all since its so thick i can even skip the essence step on days when im feeling lazy and its so good that i dont miss the essence anyway on days when i apply a bit more if my skin is inflamed or im going to be in a dry environment my skin still absorbs all of it and it never feels sticky in my opinion it also helps whatever i use on top of it sink into my skin better i will be repurchasing the most effective toner ive ever used,got compliments skin within days starting use products ive tried give glass skin effect one best didnt expect consistency thick like essence effective dont mind since thick even skip essence step days im feeling lazy good dont miss essence anyway days apply bit skin inflamed im going dry environment skin still absorbs never feels sticky opinion also helps whatever use top sink skin better repurchasing effective toner ive ever used,"['got', 'compliments', 'skin', 'within', 'days', 'starting', 'use', 'products', 'ive', 'tried', 'give', 'glass', 'skin', 'effect', 'one', 'best', 'didnt', 'expect', 'consistency', 'thick', 'like', 'essence', 'effective', 'dont', 'mind', 'since', 'thick', 'even', 'skip', 'essence', 'step', 'days', 'im', 'feeling', 'lazy', 'good', 'dont', 'miss', 'essence', 'anyway', 'days', 'apply', 'bit', 'skin', 'inflamed', 'im', 'going', 'dry', 'environment', 'skin', 'still', 'absorbs', 'never', 'feels', 'sticky', 'opinion', 'also', 'helps', 'whatever', 'use', 'top', 'sink', 'skin', 'better', 'repurchasing', 'effective', 'toner', 'ive', 'ever', 'used']"
this is a nice toner the ingredients are mostly recognizable the toner itself seems like it has a little bit of body to it so its not running all over the place but its not gooey either when you take the lid off youll see that it has one of those little pinhole dispenser tops which is niceit has  a very light scent and its one that i dont particularly care for i know it says it doesnt but i am like a german shepherd when it comes to fragrance anyway the fragrance is not nearly as strong as the box itself which really smell very strongly when i received it it is usable to me and thats a testament to how little fragrance it hasi think its doing good things for my skin what i like about toner is that its way easier to put on than moisturizer it doesnt seem like something that will moisturize but it really does when i use it i never have dry flaky skin later in the day ,nice toner ingredients mostly recognizable toner seems like little bit body not running place not gooey either take lid youll see one little pinhole dispenser tops niceit light scent one dont particularly care know says doesnt like german shepherd comes fragrance anyway fragrance not nearly strong box really smell strongly received usable thats testament little fragrance hasi think good things skin like toner way easier put moisturizer doesnt seem like something moisturize really use never dry flaky skin later day,"['nice', 'toner', 'ingredients', 'mostly', 'recognizable', 'toner', 'seems', 'like', 'little', 'bit', 'body', 'not', 'running', 'place', 'not', 'gooey', 'either', 'take', 'lid', 'youll', 'see', 'one', 'little', 'pinhole', 'dispenser', 'tops', 'niceit', 'light', 'scent', 'one', 'dont', 'particularly', 'care', 'know', 'says', 'doesnt', 'like', 'german', 'shepherd', 'comes', 'fragrance', 'anyway', 'fragrance', 'not', 'nearly', 'strong', 'box', 'really', 'smell', 'strongly', 'received', 'usable', 'thats', 'testament', 'little', 'fragrance', 'hasi', 'think', 'good', 'things', 'skin', 'like', 'toner', 'way', 'easier', 'put', 'moisturizer', 'doesnt', 'seem', 'like', 'something', 'moisturize', 'really', 'use', 'never', 'dry', 'flaky', 'skin', 'later', 'day']"
this product is solid it does the job of prepping my skin for more layers of skin care i love the hydration it provides not my favorite but not my least favorite either it works well and i will most likely purchase another bottle in the future one bottle lasts a while and i use this toner day and night ,product solid job prepping skin layers skin care love hydration provides not favorite not least favorite either works well likely purchase another bottle future one bottle lasts use toner day night,"['product', 'solid', 'job', 'prepping', 'skin', 'layers', 'skin', 'care', 'love', 'hydration', 'provides', 'not', 'favorite', 'not', 'least', 'favorite', 'either', 'works', 'well', 'likely', 'purchase', 'another', 'bottle', 'future', 'one', 'bottle', 'lasts', 'use', 'toner', 'day', 'night']"
new to korean skincare and i love love this toner and also the oat cream it hydrates and provides a great layer of moisture to your daily skincare routine super hydrating for skin,new korean skincare love love toner also oat cream hydrates provides great layer moisture daily skincare routine super hydrating skin,"['new', 'korean', 'skincare', 'love', 'love', 'toner', 'also', 'oat', 'cream', 'hydrates', 'provides', 'great', 'layer', 'moisture', 'daily', 'skincare', 'routine', 'super', 'hydrating', 'skin']"
